eye_width,face_height,label
187.5652262441967,1280.853231248608,0
186.62781641643903,1173.1704905937586,0
152.24481880469295,1055.6675613089567,0
214.88456344486332,1368.2328018286946,0
301.80935581451195,1772.345620921608,0
152.2250140229203,1025.275085038157,0
97.30077388280375,934.0192717497856,0
193.34248630934957,1343.0402078865695,0
198.58509839173587,1391.4657739233114,0
252.31497430755203,1459.0370111823756,0
204.35336771460834,1165.9065142626146,0
296.26025580567614,1694.1301602887545,0
199.27120980094355,1143.0157479230108,0
286.6790065054,1737.1393150809754,0
261.73713562152125,1486.6812032174214,0
203.00619450618112,1099.1819685566172,0
290.80336189489054,1668.8418139536172,0
252.7137178901645,1504.6730541881848,0
244.0612351190024,1457.1430952380758,0
309.29984652420217,1873.0771473700704,0
222.47026146420714,1280.8598674328118,0
291.82767190075384,1726.1532376935716,0
180.5144031426649,1043.3982940373248,0
182.98863097861874,1235.8851079287265,0
193.0467738931432,1169.0004277159182,0
293.8280901625791,1660.3084050862358,0
293.5272791155313,1753.0482024177202,0
196.00111637519458,1134.003968247025,0
184.0789598264707,994.0321926376428,0
219.41612822657186,1261.458283099366,0
184.2695653518855,1102.1805659691156,0
210.13795715179162,1305.435176483306,0
286.01822205083516,1719.4888775447196,0
252.4711506450566,1466.311358477455,0
250.00580679990327,1490.4110171358773,0
215.52615881230545,1313.9014422703096,0
295.6473120066883,1755.239584786077,0
197.40400088128172,1143.2117039288917,0
286.24545288434865,1713.0011675419255,0
207.66287360994556,1082.0665413919792,0
119.58300311929926,651.5120873782773,1
72.45963212522562,403.44764220404113,1
34.63915515355272,192.26284092356485,1
48.52813942940205,270.266535109325,1
126.11561041135634,668.5544106503224,1
72.45963212522562,403.44764220404113,1
19.28051417267848,134.18271125595876,1
56.69999016785994,305.62885989382613,1
59.41337428714784,325.16149833582693,1
23.5,127.39309243440164,1
59.41337428714784,325.16149833582693,1
22.508331019803634,184.0108692441835,1
85.00032930975267,472.7716150531882,1
29.867127793433,179.88885457415086,1
34.46991938464448,194.64069461446132,1
22.508331019803634,184.0108692441835,1
23.5,127.39309243440164,1
53.8502337220128,284.77535005684746,1
68.56444913401813,382.2734623276903,1
85.30161704382442,422.2665035259132,1
81.79654551874702,421.3039282987995,1
51.85387839985884,296.2431433805684,1
59.47437381041311,357.5947426906609,1
22.06225774829855,143.05593311708537,1
19.28051417267848,134.18271125595876,1
25.839728835403644,155.2932709424333,1
22.06225774829855,143.05593311708537,1
53.856821759907874,311.77716401301745,1
29.16799311507803,183.88311504866343,1
31.211186655791547,186.9037185290865,1
72.99616942723796,421.7416270656716,1
34.12148897302771,195.31000998412756,1
59.47437381041311,357.5947426906609,1
51.85387839985884,296.2431433805684,1
29.867127793433,179.88885457415086,1
85.00032930975267,472.7716150531882,1
52.25264863526524,290.07929950273945,1
59.41337428714784,325.16149833582693,1
39.571741549559775,228.01096464863264,1
31.211186655791547,186.9037185290865,1
42.697293289712476,261.92556194461054,1
34.46991938464448,194.64069461446132,1
52.25264863526524,290.07929950273945,1
34.63915515355272,192.26284092356485,1
75.88573366983996,423.0,1
53.856821759907874,311.77716401301745,1
15.960100183384874,93.74433316206373,1
72.99616942723796,421.7416270656716,1
126.11561041135634,668.5544106503224,1
23.5,127.39309243440164,1
34.63915515355272,192.26284092356485,1
23.5,127.39309243440164,1
119.58300311929926,651.5120873782773,1
76.50388002711482,438.0,1
25.839728835403644,155.2932709424333,1
29.16799311507803,183.88311504866343,1
68.56444913401813,382.2734623276903,1
15.960100183384874,93.74433316206373,1
34.63915515355272,192.26284092356485,1
86.40007850272687,495.6167874477216,1
80.75730723577807,444.2082844792519,1
68.78857320355803,392.7467377331096,1
110.46088748187259,616.081163484163,1
78.66017707782395,427.375712927162,1
54.302764167171794,309.7127701597078,1
96.75907762348129,520.0240379059414,1
67.17421067347321,389.13365313218543,1
111.3593853459709,607.2832946821442,1
106.23907550890804,567.6424931239733,1
68.78857320355803,392.7467377331096,1
67.485868054251,401.966416507648,1
23.594810050208544,140.80127840328723,1
75.36668552018224,430.1732209238506,1
53.380549717384355,305.1245647272602,1
71.65624769149144,392.587569849072,1
60.193972140127784,349.5969107414995,1
60.193972140127784,349.5969107414995,1
53.380549717384355,305.1245647272602,1
95.86163296392951,593.8770916612292,1
77.24410340787784,418.9367494025799,1
50.727196100910064,292.3439754809392,1
80.63613840487344,451.2427284732686,1
77.24410340787784,418.9367494025799,1
61.11408521448832,378.6634389533798,1
36.03243817104462,210.28789789238945,1
69.03802146688284,394.0,1
24.789143362774258,142.70599146496969,1
67.17421067347321,389.13365313218543,1
65.87890520368197,388.1043674065006,1
88.98007127981919,464.88278092439606,1
65.55479614839795,380.7072366005143,1
69.7633734227002,386.6497122719736,1
63.04932448729851,357.02801010564986,1
67.35143714622464,376.4943558673888,1
83.81512146388886,434.3731115066861,1
64.1887259366764,370.6534769835567,1
